date,open,close,high,low,volume,amount
20150212 09:30:00,13.75,13.79,13.8,13.75,616800,8494290
20150212 09:31:00,13.8,13.77,13.8,13.77,224200,3090886
20150212 09:32:00,13.77,13.78,13.79,13.77,356000,4905965
20150212 09:33:00,13.79,13.77,13.79,13.77,166400,2292740
20150212 09:34:00,13.78,13.78,13.78,13.77,108300,1491842
20150212 09:35:00,13.78,13.76,13.78,13.75,381100,5245068
20150212 09:36:00,13.76,13.77,13.77,13.75,207700,2858507
20150212 09:37:00,13.77,13.77,13.79,13.76,189200,2605303
20150212 09:38:00,13.78,13.77,13.78,13.76,181600,2500477
20150212 09:39:00,13.77,13.74,13.77,13.73,425300,5844987
20150212 09:40:00,13.74,13.73,13.74,13.71,167200,2294875
20150212 09:41:00,13.73,13.73,13.76,13.72,337000,4629277
20150212 09:42:00,13.73,13.75,13.76,13.73,199800,2746803
20150212 09:43:00,13.74,13.74,13.76,13.73,139000,1909692
20150212 09:44:00,13.74,13.74,13.74,13.72,276300,3794046
20150212 09:45:00,13.74,13.73,13.74,13.72,108400,1488384
20150212 09:46:00,13.72,13.74,13.74,13.72,207300,2846649
20150212 09:47:00,13.73,13.74,13.75,13.73,173100,2378580
20150212 09:48:00,13.74,13.75,13.76,13.73,332300,4568361
20150212 09:49:00,13.75,13.76,13.76,13.74,171000,2351665
20150212 09:50:00,13.76,13.75,13.76,13.73,381200,5236515
20150212 09:51:00,13.76,13.74,13.76,13.72,82200,1129164
20150212 09:52:00,13.73,13.74,13.74,13.73,106800,1466671
20150212 09:53:00,13.73,13.74,13.74,13.73,105000,1442085
20150212 09:54:00,13.73,13.73,13.74,13.72,252500,3467164
20150212 09:55:00,13.71,13.71,13.73,13.71,366400,5024355
20150212 09:56:00,13.71,13.7,13.71,13.7,418200,5729848
20150212 09:57:00,13.69,13.69,13.7,13.68,346700,4746257
20150212 09:58:00,13.69,13.7,13.7,13.69,312700,4283456
20150212 09:59:00,13.7,13.7,13.7,13.69,162300,2223462
20150212 10:00:00,13.69,13.7,13.7,13.69,216500,2965391
20150212 10:01:00,13.7,13.71,13.71,13.7,179400,2458105
20150212 10:02:00,13.7,13.73,13.73,13.7,100000,1370918
20150212 10:03:00,13.72,13.71,13.73,13.71,156400,2145371
20150212 10:04:00,13.71,13.69,13.72,13.68,537600,7364394
20150212 10:05:00,13.68,13.67,13.69,13.67,372200,5091871
20150212 10:06:00,13.67,13.66,13.68,13.66,325100,4444049
20150212 10:07:00,13.67,13.69,13.69,13.66,544500,7444725
20150212 10:08:00,13.69,13.65,13.69,13.62,591300,8087820
20150212 10:09:00,13.66,13.66,13.67,13.65,170100,2323397
20150212 10:10:00,13.66,13.67,13.67,13.66,176800,2415512
