date,open,close,high,low,volume,amount
20180918 10:52:00,22.55,22.55,22.55,22.52,80300,1809764
20180918 10:53:00,22.55,22.57,22.57,22.54,80500,1815553.125
20180918 10:54:00,22.58,22.56,22.58,22.56,42800,966032.0625
20180918 10:55:00,22.56,22.57,22.57,22.56,22800,514525
20180918 10:56:00,22.57,22.52,22.57,22.52,125800,2836618.25
20180918 10:57:00,22.52,22.56,22.57,22.51,130500,2941531.25
20180918 10:58:00,22.56,22.58,22.58,22.55,37200,839600.0625
20180918 10:59:00,22.58,22.59,22.59,22.57,54700,1234973.125
20180918 11:00:00,22.57,22.64,22.64,22.57,200400,4528931
20180918 11:01:00,22.6,22.61,22.64,22.58,53200,1202788.125
20180918 11:02:00,22.6,22.61,22.65,22.6,57200,1294321.125
20180918 11:03:00,22.61,22.61,22.61,22.6,42500,960675
20180918 11:04:00,22.61,22.61,22.62,22.6,13200,298425
20180918 11:05:00,22.6,22.6,22.61,22.6,22800,515432
20180918 11:06:00,22.59,22.6,22.61,22.58,20300,458761.03125
20180918 11:07:00,22.59,22.59,22.6,22.57,30700,693550.0625
20180918 11:08:00,22.6,22.58,22.62,22.58,31400,709709.0625
20180918 11:09:00,22.6,22.56,22.6,22.55,53500,1207951.125
20180918 11:10:00,22.57,22.57,22.57,22.56,29100,656657.0625
20180918 11:11:00,22.58,22.59,22.59,22.55,39200,884644.0625
20180918 11:12:00,22.59,22.58,22.6,22.58,73600,1662705.125
20180918 11:13:00,22.56,22.55,22.58,22.55,26400,595639
20180918 11:14:00,22.55,22.55,22.56,22.55,20700,466846
20180918 11:15:00,22.56,22.54,22.56,22.54,52800,1190548
20180918 11:16:00,22.54,22.54,22.56,22.53,44600,1005425.0625
20180918 11:17:00,22.55,22.49,22.55,22.49,584900,13166796
20180918 11:18:00,22.48,22.51,22.55,22.48,79700,1793747.125
20180918 11:19:00,22.55,22.52,22.55,22.51,44500,1002919
20180918 11:20:00,22.52,22.49,22.54,22.48,156000,3508902.25
20180918 11:21:00,22.5,22.48,22.51,22.48,50800,1142477.125
20180918 11:22:00,22.48,22.48,22.49,22.47,59100,1328377
20180918 11:23:00,22.47,22.51,22.51,22.47,53000,1192055
20180918 11:24:00,22.51,22.52,22.54,22.5,29700,668899.0625
20180918 11:25:00,22.52,22.52,22.53,22.52,12600,283797.03125
20180918 11:26:00,22.53,22.55,22.55,22.52,38600,869990.0625
20180918 11:27:00,22.54,22.56,22.57,22.52,234700,5289677.5
20180918 11:28:00,22.56,22.55,22.56,22.55,117600,2652082
20180918 11:29:00,22.52,22.51,22.55,22.51,233800,5264687
20180918 13:00:00,22.53,22.54,22.54,22.5,107700,2425910
20180918 13:01:00,22.54,22.52,22.55,22.51,18900,425708.03125
20180918 13:02:00,22.55,22.52,22.55,22.5,71300,1605966.125
20180918 13:03:00,22.52,22.54,22.55,22.52,22200,500423
20180918 13:04:00,22.55,22.54,22.55,22.52,34400,775412
20180918 13:05:00,22.52,22.51,22.52,22.5,41200,927277
20180918 13:06:00,22.51,22.54,22.54,22.5,47200,1063367.125
